uid,age_bucket,unknown_label
94377,55-64,1
276354,na,1
202583,45-54,0
131201,35-44,1
9293,na,0
115948,35-44,1
178109,45-54,0
10685,25-34,0
276940,na,1
311233,45-54,0
161010,85+,1
282209,25-34,0
153410,55-64,1
319231,25-34,0
53658,45-54,0
60000,25-34,1
98248,55-64,0
89444,45-54,0
47239,65-74,1
58890,45-54,0
312530,45-54,0
134633,35-44,0
97335,25-34,0
166887,35-44,0
140856,35-44,0
79148,18-24,1
14404,na,1
103080,na,1
292242,55-64,1
104431,na,0
110697,na,0
283734,75-84,1
295675,25-34,0
130566,35-44,0
234764,18-24,1
156460,25-34,0
312934,45-54,1
96889,45-54,0
192908,45-54,1
276305,na,1
182292,45-54,1
139766,na,0
333871,25-34,1
331883,45-54,0
225702,25-34,1
68552,25-34,1
131990,45-54,0
261783,25-34,0
148836,35-44,0
284179,55-64,0
59037,45-54,0
254257,35-44,0
332998,35-44,0
166527,25-34,1
263864,45-54,1
259748,55-64,0
50806,45-54,0
92064,na,1
80174,na,0
337502,18-24,1
286180,18-24,1
330583,35-44,0
79119,65-74,0
288229,25-34,0
63267,35-44,0
95907,35-44,0
20482,na,0
245177,45-54,0
208651,18-24,1
150658,45-54,0
204788,65-74,0
102484,25-34,0
288710,35-44,0
150615,na,1
229204,25-34,1
152672,35-44,0
237546,na,0
248669,55-64,0
289651,45-54,0
340278,55-64,0
15904,35-44,1
159685,na,0
108348,45-54,1
152230,45-54,0
199659,45-54,1
185655,25-34,0
307139,35-44,0
217737,55-64,0
314879,45-54,1
79999,18-24,1
335608,35-44,0
221551,55-64,1
296043,na,0
339893,18-24,1
190030,25-34,1
124537,25-34,0
56247,18-24,1
150697,na,0
105327,na,0
161723,45-54,0
217038,35-44,1
250852,25-34,1
278780,25-34,1
262852,na,1
154840,na,0
50143,na,0
3488,35-44,1
191712,45-54,0
56434,18-24,0
207734,45-54,1
5885,18-24,0
269317,35-44,0
226486,25-34,0
88091,na,0
325407,35-44,0
278195,35-44,1
117022,55-64,1
100681,35-44,0
318154,55-64,0
107177,na,0
326609,45-54,0
136432,35-44,1
239724,na,0
183703,45-54,1
141723,45-54,0
283031,na,0
222597,25-34,1
186499,35-44,0
320612,25-34,0
162115,35-44,0
58980,na,1
116301,na,0
177750,55-64,0
113062,35-44,0
296641,25-34,0
315514,55-64,0
162747,35-44,1
112239,35-44,0
81065,45-54,1
4898,25-34,0
99095,na,0
319088,35-44,0
170015,45-54,1
69486,na,1
61846,45-54,0
166380,na,0
103353,55-64,1
255358,35-44,0
35134,na,0
287651,25-34,0
155691,25-34,1
231306,18-24,1
200948,25-34,0
46747,na,1
235220,65-74,1
47775,35-44,1
127791,55-64,0
137388,45-54,0
161525,na,0
64113,65-74,1
290034,55-64,0
308353,35-44,0
160885,18-24,1
139172,25-34,1
193832,25-34,0
329808,55-64,1
6777,35-44,0
19517,55-64,1
279105,25-34,0
79145,na,0
247417,45-54,0
65800,18-24,1
33163,35-44,0
229491,18-24,0
292670,35-44,0
104940,45-54,0
94864,na,0
207366,65-74,0
237190,65-74,0
325636,45-54,0
86328,55-64,1
159264,45-54,0
108150,35-44,0
323906,65-74,0
190977,65-74,0
16503,na,0
216297,65-74,0
84911,55-64,0
16959,35-44,0
333416,45-54,1
271232,45-54,0
33978,na,1
95757,na,1
116767,35-44,0
65497,45-54,0
239005,55-64,1
122459,35-44,1
139370,25-34,1
106537,45-54,0
73293,25-34,0
313676,18-24,0
309821,35-44,0
91016,35-44,1
304530,18-24,0
80522,18-24,0
309794,na,0
279937,65-74,1
230515,25-34,0
39051,45-54,0
210884,na,1
37373,na,0
231653,na,0
48981,25-34,1
164123,25-34,0
254956,18-24,0
282169,55-64,1
246646,55-64,1
147162,na,0
241202,45-54,0
23626,35-44,0
105700,55-64,0
153517,45-54,1
142641,45-54,0
137487,25-34,0
227694,45-54,0
283574,18-24,1
27985,55-64,0
71784,55-64,1
22956,35-44,0
278684,na,0
164409,65-74,0
261100,45-54,0
108774,55-64,1
22594,25-34,1
279214,na,1
60859,35-44,0
328385,25-34,0
105683,25-34,0
68254,na,1
177050,35-44,1
173716,na,1
213521,45-54,0
98534,45-54,1
2613,35-44,1
93551,35-44,0
180514,na,0
271489,na,0
181261,65-74,0
105255,45-54,0
195295,35-44,0
17933,na,0
79570,25-34,1
165176,na,0
163492,na,0
101100,25-34,0
83488,45-54,0
195935,35-44,1
60690,45-54,0
282398,35-44,1
122210,35-44,1
10260,45-54,0
82806,35-44,1
259656,75-84,0
139256,35-44,1
63402,18-24,1
275147,na,0
321180,25-34,0
46362,65-74,1
236613,45-54,0
112118,na,0
103333,55-64,0
211260,55-64,0
6733,35-44,0
119675,na,0
245249,45-54,0
311133,35-44,1
313225,65-74,0
61428,na,0
112769,55-64,0
64692,35-44,0
31183,25-34,0
293534,45-54,1
126816,na,0
307872,25-34,0
239920,25-34,1
89636,25-34,0
183952,25-34,1
193933,35-44,0
73701,18-24,0
335665,25-34,1
279090,45-54,0
190584,na,0
23498,35-44,1
71954,25-34,0
224140,18-24,1
123594,35-44,0
62559,35-44,1
275337,45-54,0
110187,45-54,0
204451,na,0
47494,35-44,0
80825,35-44,0
45443,35-44,0
228760,45-54,1
283367,45-54,0
56127,25-34,1
23160,na,0
237922,75-84,1
322646,55-64,1
251129,45-54,0
331957,45-54,0
128283,25-34,1
199215,na,0
280962,45-54,0
246900,35-44,1
96961,35-44,1
208322,45-54,0
266574,55-64,1
283537,35-44,0
313406,na,1
319934,35-44,1
86105,35-44,0
273636,65-74,0
182399,55-64,0
40918,35-44,0
16996,18-24,1
296908,35-44,0
310973,25-34,1
113772,25-34,0
78696,na,0
108044,55-64,0
201745,18-24,1
195258,25-34,1
317906,65-74,1
108142,na,1
96979,55-64,0
229503,25-34,0
264162,45-54,0
56746,25-34,1
63709,na,1
155382,45-54,0
162363,25-34,0
325374,65-74,0
127346,25-34,0
120762,na,1
36706,45-54,0
44187,35-44,0
286937,25-34,1
234672,35-44,1
10551,65-74,1
190646,35-44,1
16246,65-74,0
172922,55-64,0
221817,75-84,0
19544,45-54,0
218565,18-24,0
105543,55-64,1
138267,35-44,0
332242,na,1
39729,45-54,0
276035,55-64,0
296702,25-34,0
246542,na,1
84917,35-44,1
204387,na,0
332944,45-54,0
35835,45-54,0
227987,18-24,0
302084,35-44,1
