uid,movement_activity_0,movement_activity_1,movement_activity_2,movement_activity_3,movement_activity_4,movement_activity_5,movement_activity_6,movement_activity_7,movement_activity_8,stationarity_0,stationarity_1,stationarity_2,movement_activity_9,movement_activity_10,movement_activity_11,movement_activity_12,movement_activity_13,movement_activity_14,movement_activity_15,movement_activity_16,movement_activity_17,movement_activity_18,movement_activity_19,movement_activity_20,movement_activity_21,movement_activity_22
94377,0.0,0.0,34.0,655233.219264,468723.0,8840.5,28.0,3586.93539527,7620.0,42567.0,6696.8,203579.0,7.0,3.0,19.0,16.0,11106.0,10.0,3.0,2.0,4.0,3.0,2.0,31.0,91.0,35.0
276354,2.0,8.0,34.0,210736.557148,133647.0,1014.0,29.0,2538.77476642,1088.0,60240.0,6155.2,166972.8,11.0,7.0,21.0,15.0,900.0,2.0,4.0,0.0,5.0,12.0,6.0,31.0,84.0,35.0
202583,2.0,10.0,98.0,777455.109939,561031.0,2537.5,93.0,2026.19395332,2408.0,12810.0,4653.0,49013.0,22.0,9.0,67.0,21.0,2901.0,18.0,3.0,7.0,21.0,25.0,14.0,30.0,1397.0,99.0
131201,4.0,2.0,54.0,7679157.91475,1120483.0,12558.5,39.0,17583.7519036,8147.0,16673.0,3672.0,60417.0,9.0,5.0,38.0,21.0,8475.5,4.0,5.0,6.0,14.0,6.0,3.0,31.0,1902.0,55.0
9293,1.0,12.0,65.0,181345.708728,970116.0,1832.0,59.0,40.1535999608,1800.0,14113.5,3937.1,61931.7,14.0,7.0,39.0,24.0,1800.0,1.0,1.0,10.0,20.0,14.0,8.0,25.0,667.0,66.0
115948,1.0,4.0,47.0,3993639.32142,506686.0,4383.0,39.0,1514.94859129,2355.0,17138.0,4705.1,127290.7,14.0,7.0,41.0,21.0,2629.0,11.0,3.0,0.0,1.0,12.0,10.0,31.0,440.0,48.0
178109,1.0,5.0,34.0,119708.710757,183820.0,2179.5,29.0,1087.17392484,2151.0,65880.0,5407.0,179688.8,15.0,9.0,22.0,18.0,2046.5,2.0,1.0,0.0,2.0,16.0,7.0,31.0,161.0,35.0
10685,2.0,7.0,126.0,1455078.62748,1241998.0,5311.0,110.0,6937.75392355,4566.0,7976.0,3901.8,21489.6,21.0,11.0,83.0,23.0,5568.0,20.0,13.0,17.0,27.0,18.0,8.0,31.0,2005.0,127.0
276940,1.0,11.0,95.0,1578547.62819,436864.0,2682.0,84.0,18596.9067016,2418.0,20910.0,4678.5,50451.0,25.0,22.0,64.0,21.0,2339.0,17.0,7.0,6.0,25.0,13.0,14.0,31.0,724.0,96.0
311233,1.0,11.0,92.0,1724973.05724,589352.0,3077.5,79.0,11181.4538134,2499.0,11900.0,4359.6,47596.0,21.0,11.0,62.0,21.0,2784.0,15.0,2.0,3.0,27.0,20.0,7.0,32.0,993.0,93.0
161010,0.0,0.0,5.0,0.0,449633.0,941.0,3.0,0.0,193891.0,274861.5,9900.0,603979.0,3.0,2.0,3.0,7.0,900.0,0.0,0.0,1.0,0.0,0.0,2.0,22.0,6.0,6.0
282209,2.0,11.0,85.0,1785186.71789,382048.0,2269.0,76.0,3308.49495933,2218.0,17630.5,5125.9,52486.2,25.0,17.0,65.0,22.0,2167.0,14.0,5.0,6.0,16.0,18.0,13.0,31.0,786.0,86.0
153410,0.0,1.0,8.0,25295.8850875,883389.0,20720.5,5.0,0.0,14400.0,156439.0,11811.0,509228.0,1.0,0.0,7.0,16.0,27041.0,0.0,0.0,1.0,2.0,1.0,1.0,23.0,16.0,9.0
319231,0.0,3.0,59.0,1449144.96596,617827.0,4814.0,44.0,22969.535997,3767.5,24479.0,4294.6,76551.0,15.0,7.0,43.0,22.0,4209.0,4.0,1.0,14.0,7.0,14.0,3.0,31.0,532.0,60.0
53658,0.0,5.0,41.0,891948.811994,267498.0,3193.0,33.0,10510.2690048,2700.0,54298.0,4461.4,147195.7,16.0,8.0,27.0,20.0,2732.0,3.0,0.0,0.0,7.0,17.0,5.0,31.0,285.0,42.0
60000,1.0,6.0,65.0,286336.116363,249642.0,1176.0,61.0,2027.13355045,1232.0,29845.0,5321.4,79637.7,16.0,13.0,45.0,19.0,900.0,13.0,1.0,8.0,17.0,8.0,13.0,31.0,209.0,66.0
98248,0.0,0.0,5.0,914761.729937,1549486.0,223082.0,4.0,228690.432484,325949.0,23351.5,3600.0,174998.0,1.0,1.0,3.0,12.0,1800.0,0.0,3.0,0.0,1.0,0.0,0.0,10.0,37.0,6.0
89444,0.0,4.0,33.0,661702.446693,369328.0,6800.0,26.0,2889.92556489,6562.0,28450.0,4293.5,170240.0,6.0,3.0,20.0,19.0,7772.5,3.0,2.0,0.0,9.0,7.0,2.0,31.0,321.0,34.0
